as_of_date,competition,club,player,team_matches_last_3,appearances_last_3,appearance_pct_last_3,starts_last_3,start_pct_of_appearances_last_3,minutes_last_3,sot_last_3,avg_sot_per_team_match_last_3,avg_sot_per_appearance_last_3,median_sot_per_team_match_last_3,median_sot_per_appearance_last_3,std_sot_per_team_match_last_3,std_sot_per_appearance_last_3,hit_1plus_pct_team_match_last_3,hit_1plus_pct_appearance_last_3,hit_1plus_pct_last_3,hit_2plus_pct_team_match_last_3,hit_2plus_pct_appearance_last_3,hit_2plus_pct_last_3,hit_3plus_pct_team_match_last_3,hit_3plus_pct_appearance_last_3,hit_3plus_pct_last_3,sot_per_90_last_3,avg_sot_home_per_appearance_last_3,avg_sot_away_per_appearance_last_3,trend_sot_per_team_match_last_3,trend_sot_per_appearance_last_3,team_matches_last_5,appearances_last_5,appearance_pct_last_5,starts_last_5,start_pct_of_appearances_last_5,minutes_last_5,sot_last_5,avg_sot_per_team_match_last_5,avg_sot_per_appearance_last_5,median_sot_per_team_match_last_5,median_sot_per_appearance_last_5,std_sot_per_team_match_last_5,std_sot_per_appearance_last_5,hit_1plus_pct_team_match_last_5,hit_1plus_pct_appearance_last_5,hit_1plus_pct_last_5,hit_2plus_pct_team_match_last_5,hit_2plus_pct_appearance_last_5,hit_2plus_pct_last_5,hit_3plus_pct_team_match_last_5,hit_3plus_pct_appearance_last_5,hit_3plus_pct_last_5,sot_per_90_last_5,avg_sot_home_per_appearance_last_5,avg_sot_away_per_appearance_last_5,trend_sot_per_team_match_last_5,trend_sot_per_appearance_last_5,team_matches_last_10,appearances_last_10,appearance_pct_last_10,starts_last_10,start_pct_of_appearances_last_10,minutes_last_10,sot_last_10,avg_sot_per_team_match_last_10,avg_sot_per_appearance_last_10,median_sot_per_team_match_last_10,median_sot_per_appearance_last_10,std_sot_per_team_match_last_10,std_sot_per_appearance_last_10,hit_1plus_pct_team_match_last_10,hit_1plus_pct_appearance_last_10,hit_1plus_pct_last_10,hit_2plus_pct_team_match_last_10,hit_2plus_pct_appearance_last_10,hit_2plus_pct_last_10,hit_3plus_pct_team_match_last_10,hit_3plus_pct_appearance_last_10,hit_3plus_pct_last_10,sot_per_90_last_10,avg_sot_home_per_appearance_last_10,avg_sot_away_per_appearance_last_10,trend_sot_per_team_match_last_10,trend_sot_per_appearance_last_10,team_matches_last_15,appearances_last_15,appearance_pct_last_15,starts_last_15,start_pct_of_appearances_last_15,minutes_last_15,sot_last_15,avg_sot_per_team_match_last_15,avg_sot_per_appearance_last_15,median_sot_per_team_match_last_15,median_sot_per_appearance_last_15,std_sot_per_team_match_last_15,std_sot_per_appearance_last_15,hit_1plus_pct_team_match_last_15,hit_1plus_pct_appearance_last_15,hit_1plus_pct_last_15,hit_2plus_pct_team_match_last_15,hit_2plus_pct_appearance_last_15,hit_2plus_pct_last_15,hit_3plus_pct_team_match_last_15,hit_3plus_pct_appearance_last_15,hit_3plus_pct_last_15,sot_per_90_last_15,avg_sot_home_per_appearance_last_15,avg_sot_away_per_appearance_last_15,trend_sot_per_team_match_last_15,trend_sot_per_appearance_last_15,latest_date,latest_opponent,latest_venue,coverage_status
2026-09-15,LaLiga,FC Barcelona,Xavi Espart,3,3,100,3,100,259,1,0.333,0.333,0,0,0.471,0.471,33.333,33.333,33.333,0,0,0,0,0,0,0.347,0,0.5,0.5,0.5,5,5,100,5,100,439,2,0.4,0.4,0,0,0.49,0.49,40,40,40,0,0,0,0,0,0,0.41,0.5,0.333,0.1,0.1,10,7,70,5,71.429,513,2,0.2,0.286,0,0,0.4,0.452,20,28.571,28.571,0,0,0,0,0,0,0.351,0.5,0.2,0.073,0.107,15,8,53.333,5,62.5,514,2,0.133,0.25,0,0,0.34,0.433,13.333,25,25,0,0,0,0,0,0,0.35,0.333,0.2,0.039,0.095,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Dani Olmo,3,3,100,1,33.333,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,100,1,20,158,1,0.2,0.2,0,0,0.4,0.4,20,20,20,0,0,0,0,0,0,0.57,0.5,0,-0.1,-0.1,10,10,100,5,50,449,1,0.1,0.1,0,0,0.3,0.3,10,10,10,0,0,0,0,0,0,0.2,0.25,0,0.018,0.018,15,15,100,8,53.333,748,2,0.133,0.133,0,0,0.34,0.34,13.333,13.333,13.333,0,0,0,0,0,0,0.241,0.143,0.125,0.004,0.004,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Pedri,3,3,100,3,100,221,1,0.333,0.333,0,0,0.471,0.471,33.333,33.333,33.333,0,0,0,0,0,0,0.407,0,0.5,0,0,5,5,100,4,80,350,1,0.2,0.2,0,0,0.4,0.4,20,20,20,0,0,0,0,0,0,0.257,0,0.333,0.1,0.1,10,9,90,7,77.778,646,1,0.1,0.111,0,0,0.3,0.314,10,11.111,11.111,0,0,0,0,0,0,0.139,0,0.2,0.042,0.05,15,14,93.333,12,85.714,1093,2,0.133,0.143,0,0,0.34,0.35,13.333,14.286,14.286,0,0,0,0,0,0,0.165,0.143,0.143,0.007,0.009,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Andreas Christensen,3,3,100,1,33.333,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,80,2,50,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,50,2,40,283,2,0.2,0.4,0,0,0.6,0.8,10,20,20,10,20,20,0,0,0,0.636,0,0.5,-0.012,-0.4,15,5,33.333,2,40,283,2,0.133,0.4,0,0,0.499,0.8,6.667,20,20,6.667,20,20,0,0,0,0.636,0,0.5,0.014,-0.4,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Roony Bardghji,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,3,30,2,66.667,150,1,0.1,0.333,0,0,0.3,0.471,10,33.333,33.333,0,0,0,0,0,0,0.6,0,0.5,-0.055,-0.5,15,5,33.333,3,60,255,2,0.133,0.4,0,0,0.34,0.49,13.333,40,40,0,0,0,0,0,0,0.706,0.5,0.333,-0.021,-0.2,2026-05-17,Real Betis,home,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Marc Bernal,3,3,100,1,33.333,117,1,0.333,0.333,0,0,0.471,0.471,33.333,33.333,33.333,0,0,0,0,0,0,0.769,1,0,-0.5,-0.5,5,5,100,3,60,258,1,0.2,0.2,0,0,0.4,0.4,20,20,20,0,0,0,0,0,0,0.349,0.5,0,0,0,10,10,100,6,60,517,1,0.1,0.1,0,0,0.3,0.3,10,10,10,0,0,0,0,0,0,0.174,0.25,0,0.03,0.03,15,12,80,7,58.333,628,1,0.067,0.083,0,0,0.249,0.276,6.667,8.333,8.333,0,0,0,0,0,0,0.143,0.2,0,0.018,0.024,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Eric García,3,2,66.667,2,100,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,5,4,80,4,100,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,80,8,100,582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,73.333,11,100,839,1,0.067,0.091,0,0,0.249,0.287,6.667,9.091,9.091,0,0,0,0,0,0,0.107,0.2,0,-0.018,-0.036,2026-09-13,Levante,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Jules Koundé,3,2,66.667,1,50,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,80,1,25,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,60,3,50,354,1,0.1,0.167,0,0,0.3,0.373,10,16.667,16.667,0,0,0,0,0,0,0.254,0.333,0,-0.018,-0.086,15,9,60,5,55.556,532,1,0.067,0.111,0,0,0.249,0.314,6.667,11.111,11.111,0,0,0,0,0,0,0.169,0.25,0,0.004,0,2026-09-06,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Ronald Araújo,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,3,30,1,33.333,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,46.667,4,57.143,331,1,0.067,0.143,0,0,0.249,0.35,6.667,14.286,14.286,0,0,0,0,0,0,0.272,0.333,0,-0.025,-0.107,2026-05-23,Valencia,away,complete_l15_appearance_sot
2026-09-15,LaLiga,FC Barcelona,Alejandro Balde,3,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,5,0,0,0,,0,0,0,,0,,0,,0,,,0,,,0,,,,,,0,,10,4,40,2,50,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,46.667,3,42.857,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-05-23,Valencia,away,complete_l15_appearance_sot
