as_of_date,season,competition,club,date,opponent,venue,score_for,score_against,result,player,position,minutes,started,appeared,shots,shots_on_target,source_provider,source_url,source_freshness
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-08-31,Rayo Vallecano,home,5,2,W,Pedri,Central Midfield,77,,1,2,0,Statz/Sportmonks,https://statz.ai/player/pedri/37288001,through_2026-09-06
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-08-31,Rayo Vallecano,home,5,2,W,Raphinha,Attacker,86,,1,4,3,Statz/Sportmonks,https://statz.ai/player/raphinha/160258,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-08-31,Rayo Vallecano,home,5,2,W,Xavi Espart,Left Back,90,,1,1,0,Statz/Sportmonks,https://statz.ai/player/xavi-espart/37719662,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Anthony Gordon,Left Midfield,62,,1,2,1,Statz/Sportmonks,https://statz.ai/player/anthony-gordon/9611543,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Dani Olmo,-,15,,1,2,0,Statz/Sportmonks,https://statz.ai/player/dani-olmo/74060,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Fermín López,Attacking Midfield,75,,1,4,3,Statz/Sportmonks,https://statz.ai/player/fermin-lopez/37596363,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Karim Adeyemi,-,28,,1,0,0,Statz/Sportmonks,https://statz.ai/player/karim-adeyemi/15040126,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Lamine Yamal,Right Midfield,90,,1,8,4,Statz/Sportmonks,https://statz.ai/player/lamine-yamal/37656179,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Marc Bernal,Defensive Midfield,28,,1,0,0,Statz/Sportmonks,https://statz.ai/player/marc-bernal/37710798,through_2026-09-06
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Pedri,Central Midfield,81,,1,2,1,Statz/Sportmonks,https://statz.ai/player/pedri/37288001,through_2026-09-06
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Raphinha,Attacker,90,,1,3,1,Statz/Sportmonks,https://statz.ai/player/raphinha/160258,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-06,Valencia,away,5,0,W,Xavi Espart,Left Back,90,,1,1,0,Statz/Sportmonks,https://statz.ai/player/xavi-espart/37719662,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Anthony Gordon,Left Wing,67,,1,0,0,Statz/Sportmonks,https://statz.ai/player/anthony-gordon/9611543,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Dani Olmo,-,24,,1,0,0,Statz/Sportmonks,https://statz.ai/player/dani-olmo/74060,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Fermín López,Central Midfield,90,,1,1,0,Statz/Sportmonks,https://statz.ai/player/fermin-lopez/37596363,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Karim Adeyemi,-,23,,1,4,2,Statz/Sportmonks,https://statz.ai/player/karim-adeyemi/15040126,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Lamine Yamal,Right Wing,66,,1,3,2,Statz/Sportmonks,https://statz.ai/player/lamine-yamal/37656179,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Raphinha,Attacker,90,,1,2,1,Statz/Sportmonks,https://statz.ai/player/raphinha/160258,through_2026-09-13
2026-09-15,2026/2027,LaLiga,FC Barcelona,2026-09-13,Levante,away,4,2,W,Xavi Espart,Left Back,80,,1,1,1,Statz/Sportmonks,https://statz.ai/player/xavi-espart/37719662,through_2026-09-13
